,Name,Age,Total Pull Requests,Total Releases,Updated,Primary Language,Closed Issues,Total Issues
236,styled-components/styled-components,2028,835,114,105.0,TypeScript,2439,2510
237,dcloudio/uni-app,1333,193,0,285.0,JavaScript,2078,2982
238,ethereum/go-ethereum,2992,5130,155,116.0,Go,6021,6239
239,pixijs/pixijs,3331,2293,147,36.0,TypeScript,4643,4739
240,Textualize/rich,847,484,128,28.0,Python,670,697
241,swisskyrepo/PayloadsAllTheThings,1965,339,1,21.0,Python,0,0
242,pi-hole/pi-hole,2828,1371,75,224.0,Shell,2440,2465
243,chinese-poetry/chinese-poetry,2011,103,1,536.0,JavaScript,79,153
244,discourse/discourse,3340,13613,0,222.0,Ruby,0,0
245,GitSquared/edex-ui,1863,399,29,234.0,JavaScript,553,559
246,Avik-Jain/100-Days-Of-ML-Code,1340,6,0,5.0,None,0,0
247,huginn/huginn,3283,915,0,171.0,Ruby,1400,1921
248,microsoft/playwright,842,6829,63,50.0,TypeScript,4144,4554
249,nodejs/node-v0.x-archive,4666,218,0,846.0,None,5845,6380
250,PhilJay/MPAndroidChart,2872,190,44,74.0,Java,2843,4766
251,hexojs/hexo,3451,762,103,235.0,JavaScript,3696,3768
252,fastlane/fastlane,2651,5853,515,68.0,Ruby,11833,11956
253,tauri-apps/tauri,967,1988,243,5.0,Rust,922,1057
254,FiloSottile/mkcert,1350,49,13,92.0,Go,202,286
255,tiimgreen/github-cheat-sheet,2885,129,0,217.0,None,41,48
256,ryanoasis/nerd-fonts,2648,171,21,31.0,CSS,323,551
257,CorentinJ/Real-Time-Voice-Cloning,1015,48,0,42.0,Python,817,853
258,slatedocs/slate,3096,270,26,100.0,SCSS,546,579
259,adobe/brackets,3742,4333,69,957.0,JavaScript,7067,9687
260,vuetifyjs/vuetify,2001,2858,419,118.0,TypeScript,9571,10562
261,grpc/grpc,2645,15034,189,49.0,C++,9240,10048
262,0voice/interview_internal_reference,1000,35,0,71.0,Python,18,44
263,commaai/openpilot,1928,3933,44,59.0,Python,1360,1464
264,php/php-src,3916,957,0,402.0,C,166,248
265,jakevdp/PythonDataScienceHandbook,2034,28,0,210.0,Jupyter Notebook,65,152
266,isocpp/CppCoreGuidelines,2391,712,4,330.0,Python,778,966
267,AFNetworking/AFNetworking,3932,709,40,317.0,Objective-C,3059,3123
268,alvarotrigo/fullPage.js,3089,268,70,699.0,JavaScript,3627,3818
269,dypsilon/frontend-dev-bookmarks,3179,129,1,172.0,None,79,96
270,alex/what-happens-when,3041,108,0,15.0,None,19,111
271,Leaflet/Leaflet,4183,2346,22,3.0,JavaScript,4329,4710
272,yangshun/front-end-interview-handbook,1513,210,0,5.0,JavaScript,61,75
273,shadowsocks/shadowsocks,3607,70,2,207.0,Python,0,0
274,pandas-dev/pandas,4212,18608,84,71.0,Python,18839,22133
275,Alvin9999/new-pac,2174,0,0,149.0,None,892,1184
276,videojs/video.js,4314,1476,262,338.0,JavaScript,4304,4700
277,kamranahmedse/design-patterns-for-humans,1844,47,0,266.0,None,44,52
278,sharkdp/bat,1415,944,35,22.0,Rust,895,1015
279,Developer-Y/cs-video-courses,1962,94,0,6.0,None,52,57
280,apachecn/ailearning,1835,467,2,319.0,Python,100,102
281,ngosang/trackerslist,2142,1,0,18.0,None,306,309
282,sahat/hackathon-starter,3035,301,13,486.0,JavaScript,583,607
283,airbnb/lottie-android,1977,532,40,359.0,Java,1386,1401
284,gulpjs/gulp,3167,395,22,124.0,JavaScript,1836,1862
285,shadowsocks/shadowsocks-android,3367,241,180,94.0,Kotlin,2343,2371
286,koajs/koa,3151,438,0,172.0,JavaScript,826,859
287,BVLC/caffe,3097,1087,14,433.0,C++,3882,4769
288,bumptech/glide,3163,382,38,145.0,Java,3752,4075
289,exacity/deeplearningbook-chinese,1915,16,7,686.0,TeX,136,195
290,apache/spark,2931,5,0,245.0,Scala,0,0
291,PowerShell/PowerShell,2244,5270,108,48.0,C#,6788,9906
292,quilljs/quill,3506,217,82,219.0,JavaScript,1884,2996
293,ventoy/Ventoy,726,90,68,49.0,C,899,1156
294,typescript-cheatsheets/react,1373,255,0,71.0,JavaScript,158,160
295,minio/minio,2608,7014,301,105.0,Go,5801,5813
296,google/material-design-lite,2608,655,14,75.0,HTML,1802,2163
297,lerna/lerna,2284,581,169,133.0,JavaScript,1488,2190
298,zenorocha/clipboard.js,2361,105,41,206.0,JavaScript,587,589
299,floodsung/Deep-Learning-Papers-Reading-Roadmap,1969,28,0,480.0,Python,4,47
300,RocketChat/Rocket.Chat,2483,7950,621,260.0,JavaScript,11406,13981
301,immutable-js/immutable-js,2804,440,61,419.0,TypeScript,1112,1203
302,rclone/rclone,2912,1201,81,208.0,Go,3665,4330
303,NationalSecurityAgency/ghidra,1101,251,19,36.0,Java,1865,2992
304,iperov/DeepFaceLab,1371,32,2,21.0,Python,724,1123
305,akullpp/awesome-java,2797,605,0,269.0,None,109,111
306,ant-design/ant-design-pro,1654,874,25,374.0,TypeScript,8012,8162
307,hashicorp/terraform,2915,9831,199,16.0,Go,16827,18261
308,wg/wrk,3638,0,0,78.0,C,252,363
309,photonstorm/phaser,3250,1464,120,9.0,JavaScript,3703,3844
310,Kong/kong,2666,2923,115,58.0,Lua,3573,3810
311,preactjs/preact,2368,1264,158,110.0,JavaScript,1334,1479
312,Homebrew/brew,2191,7683,242,127.0,Ruby,3424,3442
313,facebook/docusaurus,1720,3770,113,62.0,TypeScript,1951,2096
314,blueimp/jQuery-File-Upload,4113,119,0,145.0,PHP,3258,3307
315,jondot/awesome-react-native,2537,912,0,543.0,JavaScript,34,64
316,XX-net/XX-Net,2607,359,315,398.0,Python,5180,12948
317,open-guides/og-aws,2062,492,0,226.0,Shell,86,218
318,Trinea/android-open-project,2982,201,0,667.0,None,68,80
319,evanw/esbuild,2091,164,156,2.0,Go,1574,1788
320,faif/python-patterns,3560,254,0,78.0,Python,65,76
321,NervJS/taro,1428,2011,113,523.0,TypeScript,7532,8343
322,pingcap/tidb,2373,18357,144,69.0,Go,8545,10871
323,testerSunshine/12306,1754,31,1,726.0,Python,465,674
324,dylanaraps/pure-bash-bible,1362,28,0,195.0,Shell,30,63
325,google-research/bert,1228,32,0,225.0,Python,343,1095
326,d2l-ai/d2l-zh,1656,920,14,81.0,Python,0,0
327,Blankj/AndroidUtilCode,2045,79,116,197.0,Java,1245,1400
328,agalwood/Motrix,1174,144,14,47.0,JavaScript,476,951
329,nolimits4web/swiper,3644,477,15,32.0,JavaScript,4136,4292
330,kelseyhightower/kubernetes-the-hard-way,2068,69,0,210.0,None,287,353
331,wagoodman/dive,1393,115,24,10.0,Go,143,247
332,getsentry/sentry,4206,24492,86,52.0,Python,4546,4859
333,xitu/gold-miner,2314,3454,0,494.0,None,5396,5424
334,shadowsocks/ShadowsocksX-NG,2095,60,26,145.0,Swift,1025,1272
335,Eugeny/tabby,1899,1177,153,58.0,TypeScript,2191,2998
336,bilibili/ijkplayer,3198,35,0,623.0,C,2491,5149
337,google/styleguide,2482,134,0,61.0,HTML,106,286
338,geekxh/hello-algorithm,646,24,0,235.0,Java,32,36
339,golang-standards/project-layout,1639,45,0,61.0,Makefile,26,77
340,nativefier/nativefier,2436,227,83,258.0,TypeScript,890,1071
341,jaredpalmer/formik,1726,743,170,178.0,TypeScript,1479,2045
342,carbon-app/carbon,1724,614,209,12.0,JavaScript,566,582
343,sherlock-project/sherlock,1168,386,0,45.0,Python,510,587
344,marktext/marktext,1575,920,35,123.0,JavaScript,1477,2088
345,eugenp/tutorials,3233,8122,0,171.0,Java,533,564
346,BurntSushi/ripgrep,2186,418,66,46.0,Rust,1205,1313
347,AobingJava/JavaFamily,845,2,0,269.0,None,58,58
348,istio/istio,1934,17209,238,72.0,Go,14762,15323
349,serhii-londar/open-source-mac-os-apps,1584,481,0,75.0,Swift,131,163
